50
1 1.0e4 1.0e-27
2 1.5e4 5.0e-27
3 2.0e4 1.5e-26
4 3.0e4 4.0e-26
5 4.0e4 8.0e-26
6 5.0e4 1.2e-25
7 6.0e4 1.6e-25
8 7.0e4 2.0e-25
9 8.0e4 2.4e-25
10 9.0e4 2.8e-25
11 1.0e5 3.2e-25
12 1.5e5 5.0e-25
13 2.0e5 7.0e-25
14 3.0e5 1.1e-24
15 4.0e5 1.5e-24
16 5.0e5 1.9e-24
17 6.0e5 2.3e-24
18 7.0e5 2.7e-24
19 8.0e5 3.1e-24
20 9.0e5 3.5e-24
21 1.0e6 3.9e-24
22 1.5e6 6.0e-24
23 2.0e6 8.0e-24
24 3.0e6 1.2e-23
25 4.0e6 1.6e-23
26 5.0e6 2.0e-23
27 6.0e6 2.4e-23
28 7.0e6 2.8e-23
29 8.0e6 3.2e-23
30 9.0e6 3.6e-23
31 1.0e7 4.0e-23
32 1.5e7 5.5e-23
33 2.0e7 7.0e-23
34 2.5e7 8.5e-23
35 3.0e7 1.0e-22
36 3.5e7 1.15e-22
37 4.0e7 1.3e-22
38 4.5e7 1.45e-22
39 5.0e7 1.6e-22
40 5.5e7 1.75e-22
41 6.0e7 1.9e-22
42 6.5e7 2.05e-22
43 7.0e7 2.2e-22
44 7.5e7 2.35e-22
45 8.0e7 2.5e-22
46 8.5e7 2.65e-22
47 9.0e7 2.8e-22
48 9.5e7 2.95e-22
49 1.0e8 3.1e-22
50 1.5e8 4.0e-22
